# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 1.330903e+01 -9.414203e-10
1.000000e-02 -3.067912e+03 1.602656e+03
2.000000e-02 -6.373643e+03 2.979213e+03
3.000000e-02 -6.149793e+03 4.317069e+03
4.000000e-02 -5.904889e+03 5.631364e+03
5.000000e-02 -5.631719e+03 6.928135e+03
6.000000e-02 -5.326971e+03 8.209571e+03
7.000000e-02 -4.988633e+03 9.476609e+03
8.000000e-02 -4.616010e+03 1.072893e+04
9.000000e-02 -4.208023e+03 1.196664e+04
1.000000e-01 -3.764903e+03 1.318861e+04
1.100000e-01 -3.286103e+03 1.439453e+04
1.200000e-01 -2.771840e+03 1.558340e+04
1.300000e-01 -2.222401e+03 1.675418e+04
1.400000e-01 -1.637864e+03 1.790614e+04
1.500000e-01 -1.018643e+03 1.903822e+04
1.600000e-01 -3.652820e+02 2.014934e+04
1.700000e-01 3.217140e+02 2.123850e+04
1.800000e-01 1.041838e+03 2.230476e+04
1.900000e-01 1.794556e+03 2.334720e+04
2.000000e-01 2.578875e+03 2.436455e+04
2.100000e-01 3.394375e+03 2.535611e+04
2.200000e-01 4.240093e+03 2.632076e+04
2.300000e-01 5.115461e+03 2.725783e+04
2.400000e-01 6.019194e+03 2.816594e+04
2.500000e-01 6.950782e+03 2.904462e+04
2.600000e-01 7.909194e+03 2.989299e+04
2.700000e-01 8.893400e+03 3.071022e+04
2.800000e-01 9.902314e+03 3.149526e+04
2.900000e-01 1.093508e+04 3.224753e+04
3.000000e-01 1.199065e+04 3.296629e+04
3.100000e-01 1.306792e+04 3.365083e+04
3.200000e-01 1.416580e+04 3.430050e+04
3.300000e-01 1.528316e+04 3.491467e+04
3.400000e-01 1.641884e+04 3.549276e+04
3.500000e-01 1.757169e+04 3.603424e+04
3.600000e-01 1.874044e+04 3.653851e+04
3.700000e-01 1.992392e+04 3.700515e+04
3.800000e-01 2.112096e+04 3.743378e+04
3.900000e-01 2.233033e+04 3.782403e+04
4.000000e-01 2.355079e+04 3.817555e+04
4.100000e-01 2.478106e+04 3.848803e+04
4.200000e-01 2.601974e+04 3.876107e+04
4.300000e-01 2.726573e+04 3.899465e+04
4.400000e-01 2.851776e+04 3.918859e+04
4.500000e-01 2.977442e+04 3.934262e+04
4.600000e-01 3.103446e+04 3.945672e+04
4.700000e-01 3.229668e+04 3.953093e+04
4.800000e-01 3.355969e+04 3.956515e+04
4.900000e-01 3.482220e+04 3.955942e+04
5.000000e-01 3.608307e+04 3.951396e+04
5.100000e-01 3.734078e+04 3.942868e+04
5.200000e-01 3.859425e+04 3.930401e+04
5.300000e-01 3.984221e+04 3.914012e+04
5.400000e-01 4.108323e+04 3.893707e+04
5.500000e-01 4.231634e+04 3.869539e+04
5.600000e-01 4.353998e+04 3.841513e+04
5.700000e-01 4.475323e+04 3.809695e+04
5.800000e-01 4.595468e+04 3.774107e+04
5.900000e-01 4.714329e+04 3.734810e+04
6.000000e-01 4.831778e+04 3.691843e+04
6.100000e-01 4.947707e+04 3.645265e+04
6.200000e-01 5.062000e+04 3.595132e+04
6.300000e-01 5.174547e+04 3.541503e+04
6.400000e-01 5.285239e+04 3.484445e+04
6.500000e-01 5.393970e+04 3.424027e+04
6.600000e-01 5.500635e+04 3.360316e+04
6.700000e-01 5.605139e+04 3.293393e+04
6.800000e-01 5.707373e+04 3.223327e+04
6.900000e-01 5.807259e+04 3.150215e+04
7.000000e-01 5.904678e+04 3.074116e+04
7.100000e-01 5.999573e+04 2.995147e+04
7.200000e-01 6.091823e+04 2.913365e+04
7.300000e-01 6.181376e+04 2.828890e+04
7.400000e-01 6.268135e+04 2.741803e+04
7.500000e-01 6.352028e+04 2.652203e+04
7.600000e-01 6.432991e+04 2.560201e+04
7.700000e-01 6.510931e+04 2.465872e+04
7.800000e-01 6.585810e+04 2.369353e+04
7.900000e-01 6.657543e+04 2.270723e+04
8.000000e-01 6.726086e+04 2.170103e+04
8.100000e-01 6.791391e+04 2.067608e+04
8.200000e-01 6.853380e+04 1.963319e+04
8.300000e-01 6.912035e+04 1.857381e+04
8.400000e-01 6.967301e+04 1.749891e+04
8.500000e-01 7.019134e+04 1.640960e+04
8.600000e-01 7.067517e+04 1.530721e+04
8.700000e-01 7.112396e+04 1.419266e+04
8.800000e-01 7.153757e+04 1.306726e+04
8.900000e-01 7.191588e+04 1.193226e+04
9.000000e-01 7.225838e+04 1.078856e+04
9.100000e-01 7.256520e+04 9.637568e+03
9.200000e-01 7.283624e+04 8.480512e+03
9.300000e-01 7.307115e+04 7.318251e+03
9.400000e-01 7.327016e+04 6.152259e+03
9.500000e-01 7.343332e+04 4.983717e+03
9.600000e-01 7.356036e+04 3.813491e+03
9.700000e-01 7.365166e+04 2.643026e+03
9.800000e-01 7.370737e+04 1.473490e+03
9.900000e-01 7.372737e+04 3.057688e+02
1.000000e+00 7.371209e+04 -8.587977e+02
1.010000e+00 7.366182e+04 -2.019033e+03
1.020000e+00 7.357663e+04 -3.174011e+03
1.030000e+00 7.345684e+04 -4.322538e+03
1.040000e+00 7.330289e+04 -5.463414e+03
1.050000e+00 7.311518e+04 -6.595687e+03
1.060000e+00 7.289399e+04 -7.718445e+03
1.070000e+00 7.264001e+04 -8.830424e+03
1.080000e+00 7.235372e+04 -9.930637e+03
1.090000e+00 7.203537e+04 -1.101834e+04
1.100000e+00 7.168574e+04 -1.209235e+04
1.110000e+00 7.130543e+04 -1.315167e+04
1.120000e+00 7.089497e+04 -1.419548e+04
1.130000e+00 7.045488e+04 -1.522299e+04
1.140000e+00 6.998603e+04 -1.623313e+04
1.150000e+00 6.948912e+04 -1.722505e+04
1.160000e+00 6.896468e+04 -1.819811e+04
1.170000e+00 6.841352e+04 -1.915145e+04
1.180000e+00 6.783653e+04 -2.008420e+04
1.190000e+00 6.723448e+04 -2.099562e+04
1.200000e+00 6.660793e+04 -2.188526e+04
1.210000e+00 6.595794e+04 -2.275225e+04
1.220000e+00 6.528537e+04 -2.359589e+04
1.230000e+00 6.459109e+04 -2.441559e+04
1.240000e+00 6.387573e+04 -2.521103e+04
1.250000e+00 6.314044e+04 -2.598142e+04
1.260000e+00 6.238613e+04 -2.672624e+04
1.270000e+00 6.161373e+04 -2.744500e+04
1.280000e+00 6.082393e+04 -2.813752e+04
1.290000e+00 6.001764e+04 -2.880283e+04
1.300000e+00 5.919606e+04 -2.944082e+04
1.310000e+00 5.836019e+04 -3.005120e+04
1.320000e+00 5.751081e+04 -3.063384e+04
1.330000e+00 5.664903e+04 -3.118835e+04
1.340000e+00 5.577587e+04 -3.171444e+04
1.350000e+00 5.489234e+04 -3.221189e+04
1.360000e+00 5.399930e+04 -3.268065e+04
1.370000e+00 5.309772e+04 -3.312062e+04
1.380000e+00 5.218870e+04 -3.353157e+04
1.390000e+00 5.127324e+04 -3.391341e+04
1.400000e+00 5.035233e+04 -3.426613e+04
1.410000e+00 4.942666e+04 -3.458998e+04
1.420000e+00 4.849746e+04 -3.488476e+04
1.430000e+00 4.756572e+04 -3.515052e+04
1.440000e+00 4.663238e+04 -3.538736e+04
1.450000e+00 4.569827e+04 -3.559552e+04
1.460000e+00 4.476429e+04 -3.577522e+04
1.470000e+00 4.383151e+04 -3.592652e+04
1.480000e+00 4.290085e+04 -3.604962e+04
1.490000e+00 4.197320e+04 -3.614480e+04
1.500000e+00 4.104930e+04 -3.621250e+04
1.510000e+00 4.013006e+04 -3.625296e+04
1.520000e+00 3.921646e+04 -3.626644e+04
1.530000e+00 3.830932e+04 -3.625331e+04
1.540000e+00 3.740943e+04 -3.621378e+04
1.550000e+00 3.651738e+04 -3.614806e+04
1.560000e+00 3.563414e+04 -3.605706e+04
1.570000e+00 3.476051e+04 -3.594119e+04
1.580000e+00 3.389724e+04 -3.580097e+04
1.590000e+00 3.304504e+04 -3.563689e+04
1.600000e+00 3.220444e+04 -3.544967e+04
1.610000e+00 3.137619e+04 -3.523979e+04
1.620000e+00 3.056103e+04 -3.500773e+04
1.630000e+00 2.975957e+04 -3.475410e+04
1.640000e+00 2.897243e+04 -3.447952e+04
1.650000e+00 2.820004e+04 -3.418474e+04
1.660000e+00 2.744295e+04 -3.387041e+04
